0.00	0.00
0.01	0.00
0.02	-0.01
0.03	-0.03
0.04	-0.04
0.05	-0.05
0.06	-0.04
0.07	-0.02
0.08	0.01
0.09	0.06
0.10	0.11
0.11	0.16
0.12	0.19
0.13	0.20
0.14	0.19
0.15	0.16
0.16	0.13
0.17	0.09
0.18	0.05
0.19	0.03
0.20	0.01
0.21	0.01
0.22	0.02
0.23	0.03
0.24	0.07
0.25	0.12
0.26	0.19
0.27	0.28
0.28	0.37
0.29	0.46
0.30	0.51
0.31	0.51
0.32	0.45
0.33	0.31
0.34	0.12
0.35	-0.10
0.36	-0.29
0.37	-0.42
0.38	-0.43
0.39	-0.34
0.40	-0.14
0.41	0.08
0.42	0.28
0.43	0.35
0.44	0.26
0.45	-0.01
0.46	-0.42
0.47	-0.89
0.48	-1.29
0.49	-1.52
0.50	-1.52
0.51	-1.28
0.52	-0.86
0.53	-0.40
0.54	-0.04
0.55	0.08
0.56	-0.08
0.57	-0.52
0.58	-1.12
0.59	-1.72
0.60	-2.14
0.61	-2.26
0.62	-2.02
0.63	-1.48
0.64	-0.78
0.65	-0.12
0.66	0.35
0.67	0.49
0.68	0.33
0.69	-0.06
0.70	-0.49
0.71	-0.79
0.72	-0.80
0.73	-0.47
0.74	0.13
0.75	0.86
0.76	1.52
0.77	1.92
0.78	1.93
0.79	1.55
0.80	0.86
0.81	0.01
0.82	-0.79
0.83	-1.37
0.84	-1.63
0.85	-1.55
0.86	-1.17
0.87	-0.60
0.88	0.04
0.89	0.63
0.90	1.10
0.91	1.39
0.92	1.46
0.93	1.31
0.94	0.93
0.95	0.37
0.96	-0.33
0.97	-1.04
0.98	-1.64
0.99	-1.95
1.00	-1.87
1.01	-1.30
1.02	-0.30
1.03	1.00
1.04	2.36
1.05	3.51
1.06	4.18
1.07	4.24
1.08	3.65
1.09	2.55
1.10	1.17
1.11	-0.19
1.12	-1.24
1.13	-1.81
1.14	-1.82
1.15	-1.33
1.16	-0.49
1.17	0.53
1.18	1.52
1.19	2.38
1.20	3.01
1.21	3.38
1.22	3.46
1.23	3.23
1.24	2.67
1.25	1.78
1.26	0.59
1.27	-0.79
1.28	-2.16
1.29	-3.28
1.30	-3.91
1.31	-3.87
1.32	-3.13
1.33	-1.81
1.34	-0.19
1.35	1.38
1.36	2.55
1.37	3.07
1.38	2.88
1.39	2.11
1.40	1.03
1.41	-0.03
1.42	-0.80
1.43	-1.11
1.44	-1.01
1.45	-0.67
1.46	-0.35
1.47	-0.29
1.48	-0.60
1.49	-1.23
1.50	-1.97
1.51	-2.54
1.52	-2.69
1.53	-2.29
1.54	-1.41
1.55	-0.28
1.56	0.80
1.57	1.49
1.58	1.58
1.59	1.07
1.60	0.11
1.61	-0.98
1.62	-1.85
1.63	-2.22
1.64	-1.96
1.65	-1.12
1.66	0.08
1.67	1.33
1.68	2.33
1.69	2.89
1.70	2.95
1.71	2.60
1.72	2.03
1.73	1.46
1.74	1.07
1.75	0.94
1.76	1.06
1.77	1.32
1.78	1.58
1.79	1.72
1.80	1.66
1.81	1.39
1.82	0.93
1.83	0.36
1.84	-0.24
1.85	-0.80
1.86	-1.27
1.87	-1.57
1.88	-1.65
1.89	-1.44
1.90	-0.93
1.91	-0.12
1.92	0.91
1.93	1.99
1.94	2.93
1.95	3.52
1.96	3.60
1.97	3.15
1.98	2.25
1.99	1.13
2.00	0.09
2.01	-0.59
2.02	-0.71
2.03	-0.23
2.04	0.71
2.05	1.87
2.06	2.91
2.07	3.55
2.08	3.62
2.09	3.08
2.10	2.06
2.11	0.77
2.12	-0.54
2.13	-1.70
2.14	-2.63
2.15	-3.34
2.16	-3.92
2.17	-4.42
2.18	-4.89
2.19	-5.27
2.20	-5.46
2.21	-5.33
2.22	-4.83
2.23	-3.99
2.24	-2.98
2.25	-2.04
2.26	-1.42
2.27	-1.26
2.28	-1.58
2.29	-2.20
2.30	-2.83
2.31	-3.10
2.32	-2.72
2.33	-1.60
2.34	0.15
2.35	2.20
2.36	4.11
2.37	5.44
2.38	5.89
2.39	5.41
2.40	4.18
2.41	2.59
2.42	1.06
2.43	-0.04
2.44	-0.53
2.45	-0.48
2.46	-0.15
2.47	0.11
2.48	0.00
2.49	-0.63
2.50	-1.69
2.51	-2.87
2.52	-3.74
2.53	-3.90
2.54	-3.08
2.55	-1.31
2.56	1.15
2.57	3.79
2.58	6.07
2.59	7.50
2.60	7.83
2.61	7.09
2.62	5.58
2.63	3.77
2.64	2.15
2.65	1.10
2.66	0.80
2.67	1.15
2.68	1.85
2.69	2.51
2.70	2.73
2.71	2.29
2.72	1.15
2.73	-0.50
2.74	-2.34
2.75	-3.97
2.76	-5.07
2.77	-5.47
2.78	-5.15
2.79	-4.29
2.80	-3.18
2.81	-2.12
2.82	-1.35
2.83	-1.01
2.84	-1.09
2.85	-1.45
2.86	-1.90
2.87	-2.24
2.88	-2.35
2.89	-2.19
2.90	-1.84
2.91	-1.47
2.92	-1.25
2.93	-1.35
2.94	-1.83
2.95	-2.63
2.96	-3.60
2.97	-4.48
2.98	-4.99
2.99	-4.90
3.00	-4.09
3.01	-2.54
3.02	-0.42
3.03	2.00
3.04	4.38
3.05	6.39
3.06	7.75
3.07	8.29
3.08	8.00
3.09	6.97
3.10	5.41
3.11	3.57
3.12	1.71
3.13	0.07
3.14	-1.20
3.15	-2.00
3.16	-2.29
3.17	-2.14
3.18	-1.64
3.19	-0.95
3.20	-0.24
3.21	0.31
3.22	0.52
3.23	0.31
3.24	-0.34
3.25	-1.36
3.26	-2.56
3.27	-3.73
3.28	-4.61
3.29	-5.03
3.30	-4.93
3.31	-4.35
3.32	-3.47
3.33	-2.55
3.34	-1.83
3.35	-1.46
3.36	-1.48
3.37	-1.76
3.38	-2.07
3.39	-2.15
3.40	-1.79
3.41	-0.93
3.42	0.34
3.43	1.76
3.44	2.99
3.45	3.71
3.46	3.74
3.47	3.06
3.48	1.86
3.49	0.49
3.50	-0.70
3.51	-1.40
3.52	-1.46
3.53	-0.93
3.54	-0.04
3.55	0.93
3.56	1.70
3.57	2.11
3.58	2.18
3.59	2.05
3.60	1.95
3.61	2.10
3.62	2.58
3.63	3.31
3.64	4.06
3.65	4.49
3.66	4.31
3.67	3.38
3.68	1.74
3.69	-0.31
3.70	-2.36
3.71	-3.92
3.72	-4.62
3.73	-4.30
3.74	-3.03
3.75	-1.14
3.76	0.93
3.77	2.72
3.78	3.89
3.79	4.29
3.80	3.96
3.81	3.13
3.82	2.11
3.83	1.19
3.84	0.56
3.85	0.28
3.86	0.28
3.87	0.44
3.88	0.61
3.89	0.67
3.90	0.59
3.91	0.40
3.92	0.17
3.93	-0.03
3.94	-0.15
3.95	-0.18
3.96	-0.13
3.97	-0.05
3.98	0.05
3.99	0.16
4.00	0.26
4.01	0.34
4.02	0.36
4.03	0.26
4.04	-0.04
4.05	-0.57
4.06	-1.32
4.07	-2.15
4.08	-2.88
4.09	-3.24
4.10	-3.02
4.11	-2.12
4.12	-0.60
4.13	1.29
4.14	3.16
4.15	4.58
4.16	5.16
4.17	4.70
4.18	3.26
4.19	1.11
4.20	-1.27
4.21	-3.39
4.22	-4.82
4.23	-5.34
4.24	-4.95
4.25	-3.90
